OCC_CODE	OCC_TITLE	OCC_GROUP	TOT_EMP	EMP_PRSE	H_MEAN	A_MEAN	MEAN_PRSE	H_PCT10	H_PCT25	H_MEDIAN	H_PCT75	H_PCT90	A_PCT10	A_PCT25	A_MEDIAN	A_PCT75	A_PCT90	ANNUAL	HOURLY
00-0000	All Occupations	total	140400040	0.1	23.86	49630	0.1	9.27	11.60	17.81	28.92	45.45	19290	24140	37040	60150	94540		
11-0000	Management Occupations	major	7090790	0.2	56.74	118020	0.1	22.76	32.99	48.46	70.72	#	47330	68630	100790	147090	#		
11-1000	Top Executives	minor	2465800	0.2	61.03	126950	0.2	20.58	31.45	49.19	78.35	#	42810	65420	102320	162970	#		
11-1010	Chief Executives	broad	223260	0.7	93.44	194350	0.4	33.55	54.86	87.12	#	#	69780	114100	181210	#	#		
11-1011	Chief Executives	detailed	223260	0.7	93.44	194350	0.4	33.55	54.86	87.12	#	#	69780	114100	181210	#	#		
11-1020	General and Operations Managers	broad	2188870	0.3	58.70	122090	0.2	21.29	31.20	47.74	74.53	#	44290	64890	99310	155020	#		
11-1021	General and Operations Managers	detailed	2188870	0.3	58.70	122090	0.2	21.29	31.20	47.74	74.53	#	44290	64890	99310	155020	#		
11-1030	Legislators	broad	53670	1.3	*	44820	1.1	*	*	*	*	*	17230	18560	23470	67670	96500	TRUE	
11-1031	Legislators	detailed	53670	1.3	*	44820	1.1	*	*	*	*	*	17230	18560	23470	67670	96500	TRUE	
11-2000	Advertising, Marketing, Promotions, Public Relations, and Sales Managers	minor	663960	0.5	65.39	136020	0.3	28.10	39.82	57.89	81.30	#	58450	82820	120420	169110	#		
11-2010	Advertising and Promotions Managers	broad	28860	2.3	56.64	117810	1.5	21.61	32.21	48.47	70.98	#	44950	67000	100810	147640	#		
11-2011	Advertising and Promotions Managers	detailed	28860	2.3	56.64	117810	1.5	21.61	32.21	48.47	70.98	#	44950	67000	100810	147640	#		
11-2020	Marketing and Sales Managers	broad	571120	0.6	66.52	138350	0.3	28.50	40.52	59.10	82.88	#	59280	84270	122930	172390	#		
11-2021	Marketing Managers	detailed	205900	1.0	69.30	144140	0.5	32.45	44.81	63.07	85.91	#	67490	93200	131180	178690	#		
11-2022	Sales Managers	detailed	365230	0.6	64.95	135090	0.3	26.82	38.18	56.71	80.91	#	55790	79420	117960	168300	#		
11-2030	Public Relations and Fundraising Managers	broad	63970	1.1	59.31	123360	0.6	28.40	37.84	51.59	73.06	98.61	59070	78710	107320	151970	205110		
11-2031	Public Relations and Fundraising Managers	detailed	63970	1.1	59.31	123360	0.6	28.40	37.84	51.59	73.06	98.61	59070	78710	107320	151970	205110		
11-3000	Operations Specialties Managers	minor	1693430	0.4	60.32	125470	0.2	29.34	39.27	53.88	73.68	98.49	61040	81680	112080	153250	204860		
11-3010	Administrative Services Managers	broad	266280	0.7	47.56	98930	0.3	23.69	31.82	43.29	58.17	76.60	49270	66180	90050	120990	159330		
11-3011	Administrative Services Managers	detailed	266280	0.7	47.56	98930	0.3	23.69	31.82	43.29	58.17	76.60	49270	66180	90050	120990	159330		
11-3020	Computer and Information Systems Managers	broad	352510	0.9	70.07	145740	0.4	39.60	50.62	65.29	82.05	#	82360	105290	135800	170670	#		
11-3021	Computer and Information Systems Managers	detailed	352510	0.9	70.07	145740	0.4	39.60	50.62	65.29	82.05	#	82360	105290	135800	170670	#		
11-3030	Financial Managers	broad	543300	0.6	67.17	139720	0.3	31.25	42.08	58.54	81.15	#	65000	87530	121750	168790	#		
11-3031	Financial Managers	detailed	543300	0.6	67.17	139720	0.3	31.25	42.08	58.54	81.15	#	65000	87530	121750	168790	#		
11-3050	Industrial Production Managers	broad	168400	0.6	51.47	107060	0.4	28.18	35.90	46.70	61.34	79.54	58610	74670	97140	127590	165450		
11-3051	Industrial Production Managers	detailed	168400	0.6	51.47	107060	0.4	28.18	35.90	46.70	61.34	79.54	58610	74670	97140	127590	165450		
11-3060	Purchasing Managers	broad	71750	0.9	56.60	117720	0.4	30.47	39.85	53.65	68.67	85.37	63380	82880	111590	142820	177560		
11-3061	Purchasing Managers	detailed	71750	0.9	56.60	117720	0.4	30.47	39.85	53.65	68.67	85.37	63380	82880	111590	142820	177560		
11-3070	Transportation, Storage, and Distribution Managers	broad	113270	1.1	46.94	97630	0.5	25.32	32.76	42.88	56.39	73.43	52670	68140	89190	117300	152730		
