Career Cluster	Career Pathway	Code	Occupation
Agriculture, Food & Natural Resources	Agribusiness Systems	11-9013.03	Aquacultural Managers   Bright Outlook Bright Outlook  
Agriculture, Food & Natural Resources	Agribusiness Systems	13-1021.00	Buyers and Purchasing Agents, Farm Products   Green Occupation Green
Agriculture, Food & Natural Resources	Agribusiness Systems	11-9013.02	Farm and Ranch Managers  Bright Outlook  Green Occupation
Agriculture, Food & Natural Resources	Agribusiness Systems	13-1074.00	Farm Labor Contractors
Agriculture, Food & Natural Resources	Agribusiness Systems	11-9013.00	Farmers, Ranchers, and Other Agricultural Managers  Bright Outlook
Agriculture, Food & Natural Resources	Agribusiness Systems	11-9013.01	Nursery and Greenhouse Managers  Bright Outlook
Agriculture, Food & Natural Resources	Animal Systems	45-2021.00	Animal Breeders
Agriculture, Food & Natural Resources	Animal Systems	19-1011.00	Animal Scientists
Agriculture, Food & Natural Resources	Animal Systems	45-2093.00	Farmworkers, Farm, Ranch, and Aquacultural Animals
Agriculture, Food & Natural Resources	Animal Systems	39-2021.00	Nonfarm Animal Caretakers
Agriculture, Food & Natural Resources	Environmental Service Systems	17-3025.00	Environmental Engineering Technicians  Green Occupation
Agriculture, Food & Natural Resources	Environmental Service Systems	17-2081.00	Environmental Engineers  Green Occupation
Agriculture, Food & Natural Resources	Environmental Service Systems	19-4091.00	Environmental Science and Protection Technicians, Including Health  Green Occupation
Agriculture, Food & Natural Resources	Environmental Service Systems	47-4041.00	Hazardous Materials Removal Workers  Green Occupation
Agriculture, Food & Natural Resources	Environmental Service Systems	37-2021.00	Pest Control Workers
Agriculture, Food & Natural Resources	Environmental Service Systems	53-7081.00	Refuse and Recyclable Material Collectors  Green Occupation
Agriculture, Food & Natural Resources	Environmental Service Systems	51-8031.00	Water and Wastewater Treatment Plant and System Operators
Agriculture, Food & Natural Resources	Environmental Service Systems	17-2081.01	Water/Wastewater Engineers  Bright Outlook  Green Occupation
Agriculture, Food & Natural Resources	Food Products and Processing Systems	19-4011.00	Agricultural and Food Science Technicians
Agriculture, Food & Natural Resources	Food Products and Processing Systems	19-4011.01	Agricultural Technicians  Green Occupation
Agriculture, Food & Natural Resources	Food Products and Processing Systems	45-1011.07	First-Line Supervisors of Agricultural Crop and Horticultural Workers  Green Occupation
Agriculture, Food & Natural Resources	Food Products and Processing Systems	45-1011.08	First-Line Supervisors of Animal Husbandry and Animal Care Workers
Agriculture, Food & Natural Resources	Food Products and Processing Systems	45-1011.06	First-Line Supervisors of Aquacultural Workers
Agriculture, Food & Natural Resources	Food Products and Processing Systems	45-1011.00	First-Line Supervisors of Farming, Fishing, and Forestry Workers
Agriculture, Food & Natural Resources	Food Products and Processing Systems	45-1011.05	First-Line Supervisors of Logging Workers  Green Occupation
Agriculture, Food & Natural Resources	Food Products and Processing Systems	19-4011.02	Food Science Technicians
