Occupation_x	Occupation_y	summary	sampleTitles
Aerospace Engineering and Operations Technicians	Aerospace Engineering and Operations Technicians	Operate, install, calibrate, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.	Avionics Technician, Avionics Test Technician, Calibration Technician, Communication Technician, Electronics Technician, Engineering Technician, Instrumentation Technician, Spacecraft Systems Engineer, Systems Test Technician, Test Technician
Aerospace Engineers	Aerospace Engineers	Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.	Aeronautical Engineer, Aerospace Engineer, Aerospace Stress Engineer, Avionics Engineer, Design Engineer, Flight Controls Engineer, Flight Test Engineer, Structural Analysis Engineer, Systems Engineer, Test Engineer
Agricultural Engineers	Agricultural Engineers	Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.	Agricultural Engineer, Agricultural Safety and Health Program Director, Agricultural Systems Specialist, Assistant Professor, Conservation Engineer, Engineer, Professor, Project Engineer, Research Agricultural Engineer, Research Leader
Architects, Except Landscape and Naval	Architects, Except Landscape and Naval	Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.	Architect; Architectural Project Manager; Design Architect; Principal Architect; Principal, Architectural Firm; Project Architect; Senior Architect/Design Manager; Senior Architectural Designer; Senior Planner; Specifications Writer
Architectural and Civil Drafters	Architectural and Civil Drafters	Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.	none
Architectural Drafters	Architectural Drafters	Prepare detailed drawings of architectural designs and plans for buildings and structures according to specifications provided by architect.	Architect, Architectural Designer, Architectural Drafter, Architectural Draftsman, Architectural Intern, CAD Technician (Computer-Aided Design Technician), Drafter, Draftsman, Intern Architect, Project Manager
Civil Drafters	Civil Drafters	Prepare drawings and topographical and relief maps used in civil engineering projects, such as highways, bridges, pipelines, flood control projects, and water and sewerage control systems.	Civil CAD Designer (Civil Computer Aided Design Designer), Civil CAD Tech (Civil Computer-Aided Design Technician), Civil Drafter, Computer-Aided Design Designer (CAD Designer), Computer-Aided Design Operator (CAD Operator), Computer-Aided Design Technician (CAD Technician), Computer-Aided Drafting and Design Drafter (CADD Drafter), Drafting Technician, Draftsman, Draftsperson
Automotive Engineering Technicians	Automotive Engineering Technicians	Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.	Emissions Engineer, Engineering Team Supervisor, Laboratory Technician (Lab Technician), Research Technician, Test Engineer
Mechanical Engineering Technicians	Mechanical Engineering Technicians	Apply theory and principles of mechanical engineering to modify, develop, test, or calibrate machinery and equipment under direction of engineering staff or physical scientists.	Design Engineer, Designer, Engineering Lab Technician, Engineering Technical Analyst, Engineering Technician, Equipment Engineer, Lab Technician, Mechanical Designer, Process Technician, Research and Development Technician
Automotive Engineers	Automotive Engineers	Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.	Chief Engineer; Development System Efficiency Manager; Dimensional Integration Engineer; Director of Engineering, Quality & Program Management.; Director, Product Safety; Product Engineer; Senior Engineering Team Leader; Senior Project Engineer; Technical Services Manager; Technical Specialist
