	Code	Occupation_x	Job Family	Career Cluster	Career Pathway	Occupation_y	fullCode	SCode	word_tokens	Title	summary	sampleTitles	summary_tokens	sampleT_tokens
0	17-3021	Aerospace Engineering and Operations Technicians	Architecture and Engineering	Manufacturing	Manufacturing Production Process Development	Aerospace Engineering and Operations Technicians	17-3021.00	.00	['Aerospace', 'Engineering', 'and', 'Operations', 'Technicians']	Aerospace Engineering and Operations Technicians	Operate, install, calibrate, and maintain integrated computer/communications systems, consoles, simulators, and other data acquisition, test, and measurement instruments and equipment, which are used to launch, track, position, and evaluate air and space vehicles. May record and interpret test data.	Avionics Technician, Avionics Test Technician, Calibration Technician, Communication Technician, Electronics Technician, Engineering Technician, Instrumentation Technician, Spacecraft Systems Engineer, Systems Test Technician, Test Technician	['Operate', 'install', 'calibrate', 'and', 'maintain', 'integrated', 'computer', 'communications', 'systems', 'consoles', 'simulators', 'and', 'other', 'data', 'acquisition', 'test', 'and', 'measurement', 'instruments', 'and', 'equipment', 'which', 'are', 'used', 'to', 'launch', 'track', 'position', 'and', 'evaluate', 'air', 'and', 'space', 'vehicles', 'May', 'record', 'and', 'interpret', 'test', 'data']	['Avionics', 'Technician', 'Avionics', 'Test', 'Technician', 'Calibration', 'Technician', 'Communication', 'Technician', 'Electronics', 'Technician', 'Engineering', 'Technician', 'Instrumentation', 'Technician', 'Spacecraft', 'Systems', 'Engineer', 'Systems', 'Test', 'Technician', 'Test', 'Technician']
1	17-2011	Aerospace Engineers	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Aerospace Engineers	17-2011.00	.00	['Aerospace', 'Engineers']	Aerospace Engineers	Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques.	Aeronautical Engineer, Aerospace Engineer, Aerospace Stress Engineer, Avionics Engineer, Design Engineer, Flight Controls Engineer, Flight Test Engineer, Structural Analysis Engineer, Systems Engineer, Test Engineer	['Perform', 'engineering', 'duties', 'in', 'designing', 'constructing', 'and', 'testing', 'aircraft', 'missiles', 'and', 'spacecraft', 'May', 'conduct', 'basic', 'and', 'applied', 'research', 'to', 'evaluate', 'adaptability', 'of', 'materials', 'and', 'equipment', 'to', 'aircraft', 'design', 'and', 'manufacture', 'May', 'recommend', 'improvements', 'in', 'testing', 'equipment', 'and', 'techniques']	['Aeronautical', 'Engineer', 'Aerospace', 'Engineer', 'Aerospace', 'Stress', 'Engineer', 'Avionics', 'Engineer', 'Design', 'Engineer', 'Flight', 'Controls', 'Engineer', 'Flight', 'Test', 'Engineer', 'Structural', 'Analysis', 'Engineer', 'Systems', 'Engineer', 'Test', 'Engineer']
2	17-2021	Agricultural Engineers	Architecture and Engineering	Agriculture, Food & Natural Resources	Power, Structural & Technical Systems	Agricultural Engineers	17-2021.00	.00	['Agricultural', 'Engineers']	Agricultural Engineers	Apply knowledge of engineering technology and biological science to agricultural problems concerned with power and machinery, electrification, structures, soil and water conservation, and processing of agricultural products.	Agricultural Engineer, Agricultural Safety and Health Program Director, Agricultural Systems Specialist, Assistant Professor, Conservation Engineer, Engineer, Professor, Project Engineer, Research Agricultural Engineer, Research Leader	['Apply', 'knowledge', 'of', 'engineering', 'technology', 'and', 'biological', 'science', 'to', 'agricultural', 'problems', 'concerned', 'with', 'power', 'and', 'machinery', 'electrification', 'structures', 'soil', 'and', 'water', 'conservation', 'and', 'processing', 'of', 'agricultural', 'products']	['Agricultural', 'Engineer', 'Agricultural', 'Safety', 'and', 'Health', 'Program', 'Director', 'Agricultural', 'Systems', 'Specialist', 'Assistant', 'Professor', 'Conservation', 'Engineer', 'Engineer', 'Professor', 'Project', 'Engineer', 'Research', 'Agricultural', 'Engineer', 'Research', 'Leader']
3	17-1011	Architects, Except Landscape and Naval  	Architecture and Engineering	Architecture & Construction	Design/Pre-Construction	Architects, Except Landscape and Naval	17-1011.00	.00	['Architects', 'Except', 'Landscape', 'and', 'Naval']	Architects, Except Landscape and Naval	Plan and design structures, such as private residences, office buildings, theaters, factories, and other structural property.	Architect; Architectural Project Manager; Design Architect; Principal Architect; Principal, Architectural Firm; Project Architect; Senior Architect/Design Manager; Senior Architectural Designer; Senior Planner; Specifications Writer	['Plan', 'and', 'design', 'structures', 'such', 'as', 'private', 'residences', 'office', 'buildings', 'theaters', 'factories', 'and', 'other', 'structural', 'property']	['Architect', 'Architectural', 'Project', 'Manager', 'Design', 'Architect', 'Principal', 'Architect', 'Principal', 'Architectural', 'Firm', 'Project', 'Architect', 'Senior', 'Architect', 'Design', 'Manager', 'Senior', 'Architectural', 'Designer', 'Senior', 'Planner', 'Specifications', 'Writer']
4	17-3011	Architectural and Civil Drafters	Architecture and Engineering	Architecture & Construction	Design/Pre-Construction	Architectural and Civil Drafters	17-3011.00	.00	['Architectural', 'and', 'Civil', 'Drafters']	Architectural and Civil Drafters	Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings.	f more specific occupations. For additional information, please select one of the specific occupations below.	['Prepare', 'detailed', 'drawings', 'of', 'architectural', 'and', 'structural', 'features', 'of', 'buildings', 'or', 'drawings', 'and', 'topographical', 'relief', 'maps', 'used', 'in', 'civil', 'engineering', 'projects', 'such', 'as', 'highways', 'bridges', 'and', 'public', 'works', 'Use', 'knowledge', 'of', 'building', 'materials', 'engineering', 'practices', 'and', 'mathematics', 'to', 'complete', 'drawings']	['f', 'more', 'specific', 'occupations', 'For', 'additional', 'information', 'please', 'select', 'one', 'of', 'the', 'specific', 'occupations', 'below']
5	17-3011	Architectural Drafters  	Architecture and Engineering	Architecture & Construction	Design/Pre-Construction	Architectural Drafters	17-3011.01	.01	['Architectural', 'Drafters']	Architectural and Civil Drafters	Prepare detailed drawings of architectural designs and plans for buildings and structures according to specifications provided by architect.	Architect, Architectural Designer, Architectural Drafter, Architectural Draftsman, Architectural Intern, CAD Technician (Computer-Aided Design Technician), Drafter, Draftsman, Intern Architect, Project Manager	['Prepare', 'detailed', 'drawings', 'of', 'architectural', 'designs', 'and', 'plans', 'for', 'buildings', 'and', 'structures', 'according', 'to', 'specifications', 'provided', 'by', 'architect']	['Architect', 'Architectural', 'Designer', 'Architectural', 'Drafter', 'Architectural', 'Draftsman', 'Architectural', 'Intern', 'CAD', 'Technician', 'Computer', 'Aided', 'Design', 'Technician', 'Drafter', 'Draftsman', 'Intern', 'Architect', 'Project', 'Manager']
6	17-3011	Civil Drafters	Architecture and Engineering	Architecture & Construction	Design/Pre-Construction	Civil Drafters	17-3011.02	.02	['Civil', 'Drafters']	Architectural and Civil Drafters	Prepare drawings and topographical and relief maps used in civil engineering projects, such as highways, bridges, pipelines, flood control projects, and water and sewerage control systems.	Civil CAD Designer (Civil Computer Aided Design Designer), Civil CAD Tech (Civil Computer-Aided Design Technician), Civil Drafter, Computer-Aided Design Designer (CAD Designer), Computer-Aided Design Operator (CAD Operator), Computer-Aided Design Technician (CAD Technician), Computer-Aided Drafting and Design Drafter (CADD Drafter), Drafting Technician, Draftsman, Draftsperson	['Prepare', 'drawings', 'and', 'topographical', 'and', 'relief', 'maps', 'used', 'in', 'civil', 'engineering', 'projects', 'such', 'as', 'highways', 'bridges', 'pipelines', 'flood', 'control', 'projects', 'and', 'water', 'and', 'sewerage', 'control', 'systems']	['Civil', 'CAD', 'Designer', 'Civil', 'Computer', 'Aided', 'Design', 'Designer', 'Civil', 'CAD', 'Tech', 'Civil', 'Computer', 'Aided', 'Design', 'Technician', 'Civil', 'Drafter', 'Computer', 'Aided', 'Design', 'Designer', 'CAD', 'Designer', 'Computer', 'Aided', 'Design', 'Operator', 'CAD', 'Operator', 'Computer', 'Aided', 'Design', 'Technician', 'CAD', 'Technician', 'Computer', 'Aided', 'Drafting', 'and', 'Design', 'Drafter', 'CADD', 'Drafter', 'Drafting', 'Technician', 'Draftsman', 'Draftsperson']
7	17-3027	Automotive Engineering Technicians        	Architecture and Engineering	Manufacturing	Manufacturing Production Process Development	Automotive Engineering Technicians	17-3027.01	.01	['Automotive', 'Engineering', 'Technicians']	Mechanical Engineering Technicians	Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency.	Emissions Engineer, Engineering Team Supervisor, Laboratory Technician (Lab Technician), Research Technician, Test Engineer	['Assist', 'engineers', 'in', 'determining', 'the', 'practicality', 'of', 'proposed', 'product', 'design', 'changes', 'and', 'plan', 'and', 'carry', 'out', 'tests', 'on', 'experimental', 'test', 'devices', 'or', 'equipment', 'for', 'performance', 'durability', 'or', 'efficiency']	['Emissions', 'Engineer', 'Engineering', 'Team', 'Supervisor', 'Laboratory', 'Technician', 'Lab', 'Technician', 'Research', 'Technician', 'Test', 'Engineer']
8	17-3027	Mechanical Engineering Technicians	Architecture and Engineering	Manufacturing	Manufacturing Production Process Development	Mechanical Engineering Technicians	17-3027.00	.00	['Mechanical', 'Engineering', 'Technicians']	Mechanical Engineering Technicians	Apply theory and principles of mechanical engineering to modify, develop, test, or calibrate machinery and equipment under direction of engineering staff or physical scientists.	Design Engineer, Designer, Engineering Lab Technician, Engineering Technical Analyst, Engineering Technician, Equipment Engineer, Lab Technician, Mechanical Designer, Process Technician, Research and Development Technician	['Apply', 'theory', 'and', 'principles', 'of', 'mechanical', 'engineering', 'to', 'modify', 'develop', 'test', 'or', 'calibrate', 'machinery', 'and', 'equipment', 'under', 'direction', 'of', 'engineering', 'staff', 'or', 'physical', 'scientists']	['Design', 'Engineer', 'Designer', 'Engineering', 'Lab', 'Technician', 'Engineering', 'Technical', 'Analyst', 'Engineering', 'Technician', 'Equipment', 'Engineer', 'Lab', 'Technician', 'Mechanical', 'Designer', 'Process', 'Technician', 'Research', 'and', 'Development', 'Technician']
9	17-2141	Automotive Engineers    	Architecture and Engineering	Science, Technology, Engineering & Mathematics	Engineering and Technology	Automotive Engineers	17-2141.02	.02	['Automotive', 'Engineers']	Mechanical Engineers	Develop new or improved designs for vehicle structural members, engines, transmissions, or other vehicle systems, using computer-assisted design technology. Direct building, modification, or testing of vehicle or components.	Chief Engineer; Development System Efficiency Manager; Dimensional Integration Engineer; Director of Engineering, Quality & Program Management.; Director, Product Safety; Product Engineer; Senior Engineering Team Leader; Senior Project Engineer; Technical Services Manager; Technical Specialist	['Develop', 'new', 'or', 'improved', 'designs', 'for', 'vehicle', 'structural', 'members', 'engines', 'transmissions', 'or', 'other', 'vehicle', 'systems', 'using', 'computer', 'assisted', 'design', 'technology', 'Direct', 'building', 'modification', 'or', 'testing', 'of', 'vehicle', 'or', 'components']	['Chief', 'Engineer', 'Development', 'System', 'Efficiency', 'Manager', 'Dimensional', 'Integration', 'Engineer', 'Director', 'of', 'Engineering', 'Quality', 'Program', 'Management', 'Director', 'Product', 'Safety', 'Product', 'Engineer', 'Senior', 'Engineering', 'Team', 'Leader', 'Senior', 'Project', 'Engineer', 'Technical', 'Services', 'Manager', 'Technical', 'Specialist']
